Field_Number	ada_brew_1	ada_brew_1	ada_brew_17	ada_brew_17	ada_brew_4	ada_brew_4	ada_ext_11	ada_ext_11	ada_ext_4	ada_ext_4	ada_Kern_3	ada_Kern_3	Ada_NS_7	Ada_NS_7	ada_tra_6	ada_tra_6	brew_ext_10	brew_ext_10	brew_ext_3	brew_ext_3	brew_Kern_3	brew_Kern_3	brew_NS_7	brew_NS_7	ada_brew_10	ada_brew_10	ada_brew_18	ada_brew_18	ada_brew_5	ada_brew_5	ada_ext_12	ada_ext_12	ada_ext_5	ada_ext_5	ada_Kern_4	ada_Kern_4	Ada_NS_8	Ada_NS_8	ada_WM_1	ada_WM_1	brew_ext_11	brew_ext_11	brew_ext_4	brew_ext_4	brew_Kern_4	brew_Kern_4	brew_NS_8	brew_NS_8	ada_brew_11	ada_brew_11	ada_brew_19	ada_brew_19	ada_brew_6	ada_brew_6	ada_ext_13	ada_ext_13	ada_ext_6	ada_ext_6	Ada_NS_10	Ada_NS_10	Ada_NS_9	Ada_NS_9	ada_WM_2	ada_WM_2	brew_ext_12	brew_ext_12	brew_ext_5	brew_ext_5	brew_NS_1	brew_NS_1	brew_NS_9	brew_NS_9	ada_brew_12	ada_brew_12	ada_brew_2	ada_brew_2	ada_brew_7	ada_brew_7	ada_ext_15	ada_ext_15	ada_ext_7	ada_ext_7	Ada_NS_2	Ada_NS_2	ada_tra_1	ada_tra_1	ada_WM_3	ada_WM_3	brew_ext_13	brew_ext_13	brew_ext_6	brew_ext_6	brew_NS_2	brew_NS_2	brew_tra_1	brew_tra_1	ada_brew_13	ada_brew_13	ada_brew_20	ada_brew_20	ada_brew_8	ada_brew_8	ada_ext_16	ada_ext_16	ada_ext_8	ada_ext_8	Ada_NS_3	Ada_NS_3	ada_tra_2	ada_tra_2	ada_WM_4	ada_WM_4	brew_ext_14	brew_ext_14	brew_ext_7	brew_ext_7	brew_NS_3	brew_NS_3	brew_tra_10	brew_tra_10	ada_brew_14	ada_brew_14	ada_brew_21	ada_brew_21	ada_brew_9	ada_brew_9	ada_ext_17	ada_ext_17	ada_ext_9	ada_ext_9	Ada_NS_4	Ada_NS_4	ada_tra_3	ada_tra_3	ada_WM_5	ada_WM_5	brew_ext_15	brew_ext_15	brew_ext_9	brew_ext_9	brew_NS_4	brew_NS_4	brew_tra_11	brew_tra_11	ada_brew_15	ada_brew_15	ada_brew_22	ada_brew_22	ada_ext_1	ada_ext_1	ada_ext_2	ada_ext_2	ada_Kern_1	ada_Kern_1	Ada_NS_5	Ada_NS_5	ada_tra_4	ada_tra_4	ada_WM_6	ada_WM_6	brew_ext_16	brew_ext_16	brew_Kern_1	brew_Kern_1	brew_NS_5	brew_NS_5	brew_tra_12	brew_tra_12	ada_brew_16	ada_brew_16	ada_brew_3	ada_brew_3	ada_ext_10	ada_ext_10	ada_ext_3	ada_ext_3	ada_Kern_2	ada_Kern_2	Ada_NS_6	Ada_NS_6	ada_tra_5	ada_tra_5	brew_ext_1	brew_ext_1	brew_ext_2	brew_ext_2	brew_Kern_2	brew_Kern_2	brew_NS_6	brew_NS_6	brew_tra_13	brew_tra_13
2240-94344	1	1	2	2	4	4	1	1	3	3	2	2	0	0	1	1	2	2	2	4	4	4	1	1	2	2	1	3	4	4	4	4	4	4	4	4	2	2	1	4	4	4	2	2	2	4	3	1	2	2	1	1	4	4	4	2	4	4	2	2	1	1	1	1	3	3	0	0	2	2	2	2	2	4	1	1	2	2	3	3	4	4	1	1	3	3	3	3	2	2	3	3	4	2	1	2	4	2	3	3	4	4	2	2	2	2	2	2	1	1	2	4	2	2	3	3	4	2	3	3	3	1	4	4	2	2	1	2	4	4	2	2	4	4	3	1	4	4	2	4	2	2	2	2	1	3	2	2	2	2	1	1	0	0	1	1	4	2	3	3	4	4	2	2	3	1	1	3	1	3	3	3	3	3	1	1	4	4	1	1	2	1	0	0	2	4	4	4	4	4	2	2
2240-94345	2	1	2	2	2	4	1	1	3	3	2	2	0	0	3	1	2	2	2	4	2	4	1	1	2	2	1	1	4	4	2	2	4	4	4	4	2	2	1	1	4	4	4	2	2	2	3	3	2	3	3	3	4	4	4	2	4	4	2	2	1	1	1	4	3	3	0	0	2	2	2	2	2	2	1	1	3	3	3	3	4	4	1	1	1	3	3	3	2	2	3	3	4	4	1	1	4	4	1	1	4	2	2	2	2	2	2	2	3	1	2	4	2	2	3	1	2	2	3	3	3	1	4	2	2	2	1	2	4	4	1	1	4	2	3	1	4	4	2	4	4	2	4	4	1	1	2	2	2	2	1	1	0	0	3	3	4	4	3	3	4	4	2	2	3	1	1	3	1	1	3	3	1	1	1	3	4	2	1	3	2	1	0	0	2	4	2	4	2	2	2	2
2240-94346	1	1	2	2	4	4	1	3	3	3	2	4	0	0	1	1	2	2	2	2	4	4	1	3	2	2	1	3	4	4	2	2	4	4	4	4	2	2	1	1	4	4	2	2	2	2	3	3	2	2	3	1	4	4	4	4	2	2	4	4	1	1	1	1	3	3	0	0	2	4	2	4	4	4	0	0	2	2	3	3	4	4	1	1	1	3	3	3	2	2	3	3	4	4	1	1	4	4	1	1	4	4	2	4	2	2	2	2	1	1	2	4	2	2	3	3	2	2	3	3	3	3	4	4	2	2	1	1	4	4	2	1	4	4	3	1	2	2	2	2	4	2	2	2	1	3	3	2	2	2	1	1	0	0	1	3	4	2	3	3	4	4	2	2	3	1	3	3	1	1	3	3	1	3	1	3	4	2	1	1	2	1	0	0	2	4	2	4	4	2	1	1
2240-94347	1	1	2	2	4	4	1	3	3	3	2	2	0	0	3	3	2	2	2	4	2	2	3	3	0	0	1	3	4	4	2	4	4	2	4	4	2	2	1	1	4	4	4	2	2	2	3	3	2	2	3	3	4	4	4	4	4	4	2	2	1	1	1	4	3	3	0	0	4	4	2	2	2	4	1	1	2	2	3	3	4	4	1	1	1	1	3	3	2	2	3	3	4	4	1	1	4	4	3	3	4	4	2	2	2	4	2	2	3	3	4	4	2	2	1	1	4	2	3	3	3	3	4	4	2	2	1	2	4	4	2	2	4	4	1	1	2	2	2	4	4	2	2	4	1	3	2	2	2	2	1	1	0	0	1	3	4	4	3	3	4	4	2	2	3	3	3	3	1	1	3	3	1	3	1	3	4	4	1	1	2	2	0	0	2	2	2	2	4	4	2	2
2240-94361	1	1	1	2	4	4	1	1	3	3	2	2	0	0	3	3	2	4	2	2	2	2	1	3	4	2	1	3	4	4	2	4	2	2	4	4	2	2	1	1	2	4	2	2	2	2	3	3	2	2	3	1	4	4	4	4	4	4	2	2	1	1	1	4	3	3	0	0	2	4	2	4	2	2	1	1	3	2	3	3	4	4	1	1	0	0	1	3	2	4	3	3	4	4	1	1	4	4	1	1	4	4	2	2	2	2	2	2	1	1	2	4	2	2	3	1	4	2	3	4	3	3	4	2	2	2	2	2	4	4	2	2	4	2	3	3	4	2	2	4	4	4	4	4	1	1	2	2	2	2	1	1	0	0	1	1	4	4	3	3	4	4	2	2	1	1	1	3	1	1	3	1	1	3	1	1	4	4	1	1	2	2	0	0	2	2	2	4	4	2	2	2
2240-94362	1	1	2	2	4	4	1	3	3	3	2	4	0	0	3	1	2	2	2	2	2	4	1	1	2	2	3	3	3	4	2	4	2	2	4	4	2	2	1	1	4	4	2	2	2	2	3	3	2	3	3	3	4	4	4	4	4	2	2	4	1	1	1	4	3	3	0	0	2	2	2	2	2	2	1	1	2	2	3	3	4	4	1	1	1	1	3	3	2	2	3	3	4	4	1	1	4	2	1	3	4	4	2	2	2	2	2	2	3	1	2	2	2	2	3	3	2	2	3	4	3	3	4	2	2	4	2	2	4	4	2	1	4	2	3	1	4	2	4	4	4	4	4	4	3	3	3	2	2	2	1	1	0	0	1	1	2	2	3	3	4	4	2	2	1	1	1	3	1	1	3	3	1	3	1	3	2	2	1	1	2	2	0	0	2	2	2	2	4	2	1	2
2240-94363	2	2	2	2	4	4	1	1	3	3	2	2	0	0	3	3	2	4	2	2	2	4	3	3	2	2	1	3	4	4	2	2	4	2	4	4	2	2	1	1	4	4	2	2	2	4	3	3	2	3	3	3	4	4	4	2	4	4	2	2	1	1	1	1	3	3	0	0	2	2	2	2	4	4	1	1	3	2	3	3	4	4	1	1	1	1	1	3	2	2	3	3	4	2	1	2	4	2	1	3	4	4	2	2	2	2	2	2	3	3	2	4	2	2	1	1	2	2	3	3	3	3	4	2	2	2	1	2	4	4	2	2	2	2	3	1	4	4	2	2	4	4	2	4	1	3	3	2	2	2	1	1	0	0	1	1	4	2	3	3	4	4	2	2	3	3	3	3	1	1	3	1	1	3	1	3	4	4	1	1	2	2	0	0	2	2	2	4	4	2	2	2
2240-94366	2	1	2	2	4	4	1	1	1	1	2	2	0	0	3	1	2	2	0	0	4	4	3	3	2	2	3	3	4	4	2	2	2	2	4	4	2	2	1	1	4	4	2	2	2	2	3	1	2	3	3	1	4	4	4	4	4	4	2	2	1	1	1	4	3	3	0	0	2	4	2	2	2	4	1	1	3	3	3	3	4	4	1	1	1	3	3	3	2	2	3	3	4	4	1	1	4	4	3	3	4	4	2	2	2	2	1	1	3	1	2	2	2	2	3	1	2	2	3	3	3	1	4	4	2	4	2	2	4	4	2	2	4	4	1	1	4	2	2	2	4	2	2	4	3	3	3	2	2	2	1	1	0	0	1	1	4	2	3	3	4	3	2	2	3	1	3	3	1	1	3	3	3	3	1	1	4	2	1	1	1	1	0	0	2	4	2	4	4	4	1	2
2240-94368	2	1	1	2	4	4	1	3	3	3	2	2	0	0	1	1	2	4	4	4	4	4	1	3	2	2	1	3	4	4	4	4	4	2	4	4	2	2	1	1	4	4	2	2	2	2	3	1	2	3	3	3	4	4	4	4	4	2	2	4	3	1	1	4	3	3	0	0	2	4	2	2	2	4	1	1	2	2	3	3	4	4	1	1	1	1	3	3	2	2	3	3	4	4	1	1	4	4	1	3	4	4	2	2	2	2	2	2	3	3	2	2	2	2	1	1	2	2	3	3	3	3	4	4	2	4	1	1	4	4	2	1	4	4	1	1	4	2	2	2	4	2	2	4	3	3	3	3	2	2	1	1	0	0	3	3	4	2	3	3	4	4	4	2	1	1	3	3	1	1	3	3	1	3	1	1	4	2	1	1	2	1	0	0	2	2	2	4	2	2	2	2
2240-94396	1	1	2	2	4	4	1	1	3	3	2	2	0	0	3	3	2	2	2	2	2	4	1	3	4	2	1	3	4	4	2	2	2	2	4	4	2	2	1	1	4	4	4	2	4	4	3	1	2	2	3	3	4	4	4	4	4	2	2	4	1	1	1	1	1	3	0	0	2	4	2	2	2	2	1	1	3	2	3	3	4	4	1	1	1	1	1	3	2	2	3	3	4	2	1	1	4	4	1	3	4	4	2	2	2	2	2	1	3	1	2	4	2	2	3	3	4	2	3	3	3	3	4	2	2	4	1	2	4	4	2	2	4	2	3	1	2	2	2	4	4	4	2	4	3	3	2	2	2	2	1	1	0	0	1	1	4	2	3	3	4	4	2	2	3	1	1	3	1	1	3	3	1	3	1	1	4	4	1	1	2	1	0	0	2	2	4	4	4	4	1	2
2240-94397	2	2	1	2	4	4	1	1	3	3	2	2	0	0	1	1	2	4	2	2	2	4	1	1	4	4	1	3	3	4	2	2	2	2	4	4	2	2	1	4	2	4	2	2	2	2	1	1	3	3	3	3	4	4	4	2	4	4	2	2	1	1	1	4	3	3	0	0	2	4	2	2	2	2	1	1	3	2	3	3	4	4	1	1	1	1	3	3	2	2	3	3	4	4	1	1	4	4	1	3	4	2	2	2	2	2	2	2	3	3	4	4	2	2	3	3	4	2	3	3	3	1	4	2	2	2	1	2	4	4	2	1	4	4	3	3	4	2	4	4	4	4	2	4	3	3	2	2	2	4	4	1	0	0	1	3	4	2	3	3	4	4	2	2	3	1	1	3	1	1	3	3	1	1	1	1	4	4	1	1	1	1	0	0	2	2	2	2	4	4	2	2
2240-94398	2	1	2	2	4	4	1	3	3	3	2	2	0	0	3	1	2	2	2	2	4	4	1	3	4	2	1	3	4	4	2	2	4	2	4	4	2	2	1	4	4	4	2	2	2	2	3	1	2	3	3	3	4	4	4	2	4	4	2	2	3	1	1	1	1	3	0	0	2	2	2	4	2	4	1	1	0	0	3	3	4	4	1	1	1	3	3	3	2	2	3	3	4	4	1	1	4	2	3	3	4	2	2	2	2	2	2	1	1	1	2	4	2	2	3	1	2	2	3	3	3	3	4	2	2	4	2	2	4	4	2	2	4	4	3	1	2	2	2	4	4	2	2	2	1	3	3	2	2	2	1	1	0	0	1	3	4	4	3	3	4	4	4	2	3	3	3	3	1	1	3	3	3	3	3	3	4	4	1	1	2	2	0	0	2	2	4	4	4	2	2	2
2240-94399	1	1	2	2	4	4	1	1	3	3	2	2	0	0	3	1	2	2	2	2	2	4	3	3	4	4	3	3	4	4	2	4	4	4	4	4	2	2	1	4	4	4	2	2	2	2	1	1	2	2	3	1	4	4	4	4	4	4	2	2	1	1	1	4	3	3	0	0	2	4	2	2	2	4	1	1	3	3	3	3	4	4	1	1	3	3	1	3	2	2	3	3	4	2	1	1	4	4	1	3	4	4	2	2	2	2	2	1	1	1	4	4	2	2	3	3	2	2	3	3	3	3	4	2	2	2	1	1	4	4	2	2	4	4	3	1	4	2	2	4	2	2	2	2	3	3	2	2	2	2	4	1	0	0	1	3	4	4	3	3	4	4	4	2	1	1	1	1	1	1	3	3	3	3	1	3	4	2	1	1	2	2	0	0	2	2	2	2	4	4	1	2
2240-94400	2	2	1	2	4	4	1	1	3	3	2	2	0	0	3	1	2	2	2	2	4	4	1	1	4	2	3	3	3	4	2	2	4	4	4	4	2	2	1	4	4	4	2	2	2	4	1	1	2	2	1	1	4	2	4	4	2	2	4	4	3	1	1	1	3	3	0	0	2	2	2	2	4	4	1	1	2	2	3	3	4	4	1	1	1	3	3	3	2	2	3	3	2	2	1	2	2	2	1	3	4	2	2	2	2	2	2	2	3	3	4	4	2	2	3	3	2	2	3	4	3	3	4	4	2	4	1	1	4	4	2	2	4	2	3	1	4	2	2	4	4	2	2	4	1	3	3	2	2	2	1	1	0	0	1	3	4	2	3	3	4	4	2	2	3	3	3	3	1	1	3	3	1	3	1	3	4	4	1	1	1	1	0	0	2	2	2	4	4	4	1	1
2330-99701	1	1	1	2	4	4	1	3	3	3	2	2	0	0	1	1	2	2	2	4	2	4	3	3	2	2	3	3	4	4	4	4	4	4	4	4	2	2	1	1	2	4	2	2	2	2	3	3	2	2	3	3	4	4	4	2	4	2	2	4	3	1	1	4	3	3	0	0	2	2	2	4	4	4	1	1	0	0	3	3	4	4	1	1	1	1	3	3	2	2	3	3	4	2	1	1	4	4	3	3	4	4	2	2	2	4	2	1	1	1	2	4	2	2	1	1	2	2	3	4	3	3	2	2	2	2	1	2	4	4	2	2	4	2	3	1	4	2	2	4	2	2	2	4	1	1	3	3	2	2	1	1	0	0	3	3	4	2	3	3	4	4	2	2	3	1	3	3	1	1	3	3	3	3	1	1	4	4	1	1	2	2	0	0	2	2	2	4	4	2	2	2
2330-99702	1	1	1	1	4	4	1	1	3	3	2	2	0	0	3	3	2	2	2	4	4	4	0	0	2	2	3	3	4	4	2	4	2	2	4	4	2	2	1	1	4	4	2	2	4	4	3	3	3	3	3	3	4	4	4	4	4	4	2	2	1	1	4	4	1	1	0	0	2	2	2	4	2	2	1	3	2	2	3	3	4	4	1	1	3	3	1	1	2	2	3	3	2	2	1	1	2	2	3	3	4	2	2	2	2	2	2	2	1	1	2	4	2	2	3	1	4	4	3	3	3	3	2	2	2	2	2	2	4	4	2	2	4	4	1	1	4	4	2	4	4	4	4	4	1	3	3	3	2	2	0	0	0	0	3	3	4	4	3	3	4	4	2	2	3	3	3	3	3	3	3	3	1	1	3	3	4	4	1	1	1	1	0	0	2	2	2	2	2	2	2	2
2330-99703	1	1	1	1	4	4	3	3	3	3	2	2	0	0	3	1	2	2	2	2	4	4	1	3	2	2	1	1	4	4	2	4	4	2	4	4	2	2	1	1	4	4	2	2	4	4	3	1	2	2	3	1	4	4	4	4	4	4	2	2	3	1	1	4	1	3	0	0	2	2	2	2	2	4	1	1	2	2	3	3	4	4	1	1	1	1	1	1	2	2	3	3	4	2	1	1	4	4	1	1	4	4	2	2	2	2	2	2	3	3	2	4	2	1	3	3	4	2	3	3	3	3	4	2	2	2	1	2	4	4	2	1	4	4	1	1	4	4	4	4	4	4	4	4	1	3	3	2	2	2	1	1	0	0	1	1	2	2	3	3	4	4	2	2	3	1	3	3	1	1	3	3	1	3	1	1	4	4	1	1	2	2	0	0	2	2	2	4	4	4	1	2
